ID,highsal,interest,challeng,special,mathsci,knowledg,family,hobbies,gooddeg,varied,mother,father,careers,teacher,nobody,insight,encourag,discoura,whodisc,practica,curricul,pleased,relevanc,competit,Mconfid,Fhelp,deadline,assess,interper,quality,supplect,supppers,groupwk,teachhrs,friends,coursewk,theory,practwk,designwk,variety,placemen,experien,money,educatio,jobprosp,jobdecid,industry,perdevel,unigrade,apptheor,finalyr,indchart,placothe,wkexp,placloca,breaked,finuni,nogain,noappeal,noaccept,noplaoth,carpath,furstudy,studarea,salary,location,workenv,people,travel,benefits,training,promot,equalopp,flexible,childcar,workrole,charship,gender,age,ethnic,religion,school,year,dept,uni
108,2.0,5,5.0,4.0,5.0,4.0,4.0,5,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,0.0,,,,,,,,,,,,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,13.0,2.0,1.0,1.0,4.0,1
109,2.0,4,2.0,2.0,2.0,3.0,1.0,3,3.0,4.0,1.0,1.0,1.0,1.0,4.0,0.0,,0.0,,5.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0,,,,,,,,,,2.0,0.0,,4.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,1
110,2.0,4,5.0,2.0,4.0,2.0,3.0,4,5.0,5.0,3.0,3.0,3.0,3.0,4.0,0.0,,0.0,,2.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,,2.0,2.0,3.0,1.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,1.0,,,,,,,,,,10.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,5.0,1
111,4.0,4,4.0,4.0,4.0,3.0,1.0,4,4.0,3.0,3.0,3.0,2.0,2.0,4.0,0.0,,0.0,,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,,,,,,1.0,0.0,,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1
112,3.0,4,5.0,5.0,5.0,4.0,1.0,4,5.0,4.0,2.0,4.0,2.0,2.0,5.0,0.0,,0.0,,4.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,,,,,,,,,,9.0,1.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,6.0,1
113,2.0,5,5.0,5.0,1.0,1.0,2.0,5,5.0,5.0,3.0,3.0,3.0,3.0,4.0,0.0,,0.0,,,4.0,4.0,4.0,2.0,3.0,2.0,,,4.0,4.0,4.0,,4.0,4.0,5.0,,3.0,,,,1.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,,,,,,,,,,1.0,,,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,4.0,1
114,4.0,4,3.0,4.0,5.0,3.0,1.0,2,5.0,3.0,1.0,1.0,4.0,3.0,1.0,0.0,,0.0,,2.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,,,,,,,,,10.0,0.0,,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,6.0,1
115,4.0,4,5.0,4.0,4.0,1.0,5.0,4,4.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,,0.0,,1.0,2.0,3.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,2.0,4.0,5.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,1.0,1.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,5.0,1
116,3.0,4,4.0,4.0,4.0,3.0,2.0,4,4.0,4.0,3.0,3.0,3.0,3.0,4.0,0.0,,0.0,,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,,,,,,,,,,2.0,0.0,,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,6.0,1
117,4.0,5,5.0,4.0,4.0,3.0,2.0,4,5.0,3.0,2.0,2.0,4.0,5.0,2.0,0.0,,0.0,,4.0,2.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,,,,,,,,,,1.0,0.0,,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,7.0,1
118,2.0,5,4.0,4.0,,2.0,2.0,4,4.0,5.0,3.0,3.0,2.0,3.0,3.0,0.0,,0.0,,2.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,,,,,,,,,,4.0,0.0,,5.0,5.0,5.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,6.0,1
119,5.0,5,5.0,4.0,4.0,1.0,4.0,4,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,,,,,,,,,1.0,0.0,,5.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1
